Neighborhood,Average Price
Mount Washington,229109.90476190476
Brighton Heights,114002.27272727272
Perry North,103757.5
Upper Lawrenceville,96751.0
Stanton Heights,154576.0
Morningside,153862.66666666666
Highland Park,300287.0
Homewood North,38806.0
Point Breeze,430740.71428571426
Point Breeze North,265796.6666666667
Squirrel Hill South,356295.45454545453
Swisshelm Park,237336.25
Southside Flats,262172.73333333334
Southside Slopes,118239.8
Overbrook,85798.83333333333
Carrick,78923.69230769231
Arlington,54187.0
Knoxville,63839.333333333336
Beltzhoover,45555.0
Beechview,76597.69230769231
Banksville,138073.33333333334
Lincoln Place,72615.66666666667
Westwood,118482.0
Crafton Heights,97967.75
Elliott,78611.0
Central Business District,258715.33333333334
Sheraden,59029.71428571428
Manchester,163262.0
Perry South,65940.2
Fine View,56571.333333333336
Central Northside,171296.5
East Allegheny,91048.5
Spring Hill - City View,56762.0
Troy Hill,258130.0
Bloomfield,247876.125
Upper Hill,137159.0
North Oakland,277281.22222222225
South Oakland,128968.0
Bon Air,78064.5
Brookline,111560.40909090909
Oakwood,92392.0
Marshall - Shadeland,62314.2
California-Kirkbride,58817.0
Spring Garden,59032.0
Central Lawrenceville,142564.125
Lower Lawrenceville,80216.5
Garfield,118184.0
Shadyside,451700.04
Squirrel Hill North,737291.2857142857
Greenfield,137950.2
Hazelwood,127106.8
Duquesne Heights,180290.0
Wind Gap,114209.25
Chartiers City,81854.0
East Liberty,206029.0
